epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,24063.1,1.39754,0.88275,0.90913,0.82937,0.73726,0.7961,0.59034,1.35402,0.82828,0.91884,0.00024746,0.00024746,0.00024746
119,24112.2,1.38692,0.87638,0.91028,0.84881,0.72483,0.78843,0.58002,1.36529,0.82596,0.92139,0.000244549,0.000244549,0.000244549
120,24220.1,1.39972,0.88338,0.91219,0.87282,0.72444,0.79726,0.5951,1.3498,0.81387,0.91947,0.000241639,0.000241639,0.000241639
121,24364.3,1.40425,0.87597,0.91273,0.85444,0.72411,0.78799,0.59066,1.35367,0.81712,0.9186,0.000238728,0.000238728,0.000238728
122,24519.3,1.37764,0.87407,0.90953,0.82632,0.74132,0.7979,0.59147,1.35379,0.81743,0.91855,0.000235817,0.000235817,0.000235817
123,24685.7,1.34877,0.85267,0.90954,0.85231,0.72498,0.79376,0.58843,1.35816,0.82509,0.92016,0.000232907,0.000232907,0.000232907
124,24801.6,1.36696,0.86062,0.90822,0.84153,0.72346,0.79511,0.58164,1.36689,0.82631,0.92295,0.000229996,0.000229996,0.000229996
125,24879.6,1.346,0.85235,0.90854,0.85395,0.73864,0.79556,0.59209,1.34618,0.81981,0.91595,0.000227086,0.000227086,0.000227086
126,25015.8,1.37443,0.8637,0.89949,0.85925,0.73016,0.79158,0.5849,1.34154,0.82136,0.91539,0.000224175,0.000224175,0.000224175
127,25153.6,1.36668,0.85431,0.90542,0.8715,0.72882,0.79699,0.58805,1.33921,0.81548,0.91688,0.000221264,0.000221264,0.000221264
128,25300.9,1.36284,0.8531,0.90621,0.83457,0.73384,0.79509,0.58382,1.35843,0.81647,0.92151,0.000218354,0.000218354,0.000218354
129,25647.4,1.36229,0.84781,0.90568,0.83847,0.7276,0.79072,0.58503,1.34969,0.82087,0.91823,0.000215443,0.000215443,0.000215443
130,25942.1,1.36782,0.85967,0.90431,0.84366,0.74091,0.80316,0.60057,1.33377,0.8072,0.91546,0.000212533,0.000212533,0.000212533
131,26123.2,1.35597,0.85037,0.90511,0.84631,0.7451,0.79647,0.59397,1.33737,0.80198,0.91612,0.000209622,0.000209622,0.000209622
132,26345.7,1.36254,0.84751,0.90631,0.86145,0.728,0.79732,0.59095,1.34172,0.81286,0.9166,0.000206711,0.000206711,0.000206711
133,26774,1.37266,0.85053,0.90457,0.85692,0.74441,0.80448,0.60081,1.33088,0.79315,0.91394,0.000203801,0.000203801,0.000203801
134,26975.1,1.35749,0.84368,0.90473,0.86846,0.74046,0.8049,0.59947,1.3342,0.79569,0.913,0.00020089,0.00020089,0.00020089
135,27162.7,1.35541,0.84525,0.90314,0.82855,0.7461,0.80304,0.5976,1.33594,0.80831,0.91433,0.00019798,0.00019798,0.00019798
136,27371.2,1.34384,0.84151,0.90027,0.84666,0.74619,0.80014,0.58689,1.35083,0.82097,0.91889,0.000195069,0.000195069,0.000195069
137,27637.6,1.35573,0.84351,0.90423,0.83899,0.74914,0.8013,0.59294,1.33201,0.80452,0.91526,0.000192158,0.000192158,0.000192158
138,28055.1,1.3557,0.8414,0.9,0.83086,0.75073,0.80107,0.59943,1.33342,0.80843,0.91406,0.000189248,0.000189248,0.000189248
139,28288.4,1.35131,0.83996,0.9018,0.84906,0.75178,0.80465,0.60015,1.32016,0.80131,0.91143,0.000186337,0.000186337,0.000186337
140,28672.4,1.32566,0.82054,0.90118,0.83947,0.75412,0.80579,0.59773,1.32937,0.79304,0.91324,0.000183427,0.000183427,0.000183427
141,28766.3,1.34177,0.83443,0.89928,0.86077,0.74817,0.80787,0.59971,1.32954,0.79881,0.91357,0.000180516,0.000180516,0.000180516
142,28870.7,1.3407,0.83565,0.89433,0.85464,0.74586,0.80689,0.60334,1.32763,0.7945,0.9123,0.000177605,0.000177605,0.000177605
143,29001.7,1.31476,0.82299,0.8988,0.85222,0.74698,0.80815,0.60266,1.32326,0.78916,0.91196,0.000174695,0.000174695,0.000174695
144,29170.7,1.3416,0.82694,0.90028,0.87115,0.74474,0.81118,0.6023,1.32971,0.79222,0.91232,0.000171784,0.000171784,0.000171784
145,29498.9,1.32671,0.81514,0.89716,0.87836,0.73682,0.80984,0.60439,1.32555,0.78365,0.91244,0.000168874,0.000168874,0.000168874
146,29696.8,1.35094,0.83054,0.90108,0.86608,0.74915,0.81278,0.60505,1.33009,0.78446,0.9124,0.000165963,0.000165963,0.000165963
147,29912.9,1.34035,0.8248,0.89847,0.86101,0.74496,0.80884,0.60381,1.32615,0.78542,0.91343,0.000163052,0.000163052,0.000163052
148,30080.5,1.33597,0.82441,0.89895,0.86676,0.75167,0.81223,0.60194,1.3339,0.78726,0.91389,0.000160142,0.000160142,0.000160142
149,30285.9,1.32036,0.80866,0.89992,0.85424,0.75407,0.80811,0.60854,1.31455,0.78248,0.91179,0.000157231,0.000157231,0.000157231
